type,choreographer,label
C,Shoshana Dudai,Ahava Aza
C,Moshe Telem,Ahava Bachoresh
P,Avner Naim,Ahava Bageshem (Hageshem)
P,Rafi Ziv,Ahava Bamidbar
C,Rafi Ziv,Ahava Bat Esrim (C)
P,Shlomo Maman,Ahava Bat Esrim (P)
C,"Chayim Ochayon, Shirli Omer",Ahava Bechat
C,Ira Weisburd,Ahava Bechol Safa
P,Oren Shmuel,Ahava Be'eynaich
P,Itzik Appleboim,Ahava Bekachol
P,Yom Tov Ochayon,Ahava Bermazim
P,Moshe Tawily,Ahava Besof Haka'its
P,Yoram Sasson,Ahava Betochi
C,Shmulik Gov Ari,Ahava Betucha
P,Avner Naim,Ahava Bishnayim (Bishnayim)
P,Israel Shiker,Ahava Boeret
P,Nourit Grinfeld,Ahava Ein Sofit
P,Gadi Bitton,Ahava Elohit (Ha'ahava Hi Elohit)
P,Ilai Szpiezak,Ahava Emet Pshuta
P,Rafi Ziv,Ahava Gdolah
C,Nurit Melamed,Ahava Hamon
P,Eli Ronen,Ahava Hi Perach (Ha'ahava Hi Perach)
P,Victor Gabbay,Ahava Iveret (Victor Gabbay)
P,Moshany A. Shemesh,Ahava Iveret (Moshany A. Shemesh)
P,"Sagi Azran, Sharon Elkaslassy",Ahava Kazo
P,Israel Shiker,Ahava Kena
P,Naftaly Kadosh,Ahava Ktsara (Naftaly Kadosh)
P,Gadi Bitton,Ahava Ktsara (Gadi Bitton)
PW,Gadi Bitton,Ahava Ktsara-Wh.Chair
P,Avner Naim,Ahava Lanetsach
P,Avi Perez,Ahava Lanetsach (Ve'at Yafa Nishart Yafa)
P,Ilai Szpiezak,Ahava Lelo Gvulot
P,Victor Gabbay,Ahava Lelo Milim
P,Nourit Grinfeld,Ahava Lemerchakim Arukim
P,Shlomo Maman,Ahava Leylit
P,Shmulik Gov Ari,Ahava Me'ever Lapina
P,Avi Perez,Ahava Mesanveret
C,Avi Levy,Ahava Meshuga'at (Hazaya)
P,Tamir Shalev,Ahava Mesovevet Hakol
C,Naftaly Kadosh,Ahava Mimabat Rishon
P,Yossi Nakav,Ahava Nishberet
P,Moshe Eskayo,Ahava Noshana
,Yankale Ziv,Ahava Parsit
PW,Roni Siman Tov,Ahava Pshuta - Wh.Chair
P,Roni Siman Tov,Ahava Pshuta (Yesh Li Ahava)
P,Shmulik Gov Ari,Ahava Rechoka
P,Amir Katz,Ahava Rishona
P,"Yaron Malihi, Dudu Barzilay",Ahava Rishona (Kerem Or)
P,Elad Shtamer,Ahava Shel Pa'am Bechaim
P,Chayim Shiryon,Ahava Shelanu
P,Raanan Mor,Ahava Sheli
P,"Mali Lipson, Moshe",Ahava Shelo Nigmeret
P,Avi Perez,Ahava Tamid Nisheret
C,Kobi Michaeli,Ahava Tenatseach
P,Shlomo Maman,Ahava Tseira (Chazara Lamutav)
P,Naftaly Kadosh,Ahava Yam Tichonit (Laila Yam Yichoni)
C,Robin Starr,Ahava Yomyomit
C,Yaron Malihi,Ahava Zmanit (C)
,Moshiko Halevy,Ahava Zmanit ()
C,Sagi Azran,Ahava Zo Ahava
P,Sagi Azran,Ahava Zo Hapoenta
C,Ya'ir Harel,Ahavah Atsumah (Amour est Blue)
C,Josee Vincelette,Ahavah Efsharit Sheli (Le'atsmi Sheli)
C,Dudu Barzilay,Ahavah Midor Ledor
C,Moshe Tawily,Ahavat Aviv
P,Eli Ronen,Ahavat Bat Teiman (Bat Teiman)
P,Sharon Elkaslassy,Ahavat Chayai (Nostalgia)
C,Sefi Aviv,Ahavat Chayay (C)
P,Eli Segal,Ahavat Chayay (P)
C,Yaron Ben Simhon,Ahavat Chinam
P,"Mishel Cohen, Gil",Ahavat Emet
C, ,Ahavat Erev (C)
P,Avner Naim,Ahavat Erev (P)
C,Shmulik Gov Ari,Ahavat Hachayalim (Shir Ahava Chayali)
C,Rivka Sturman,Ahavat Hadassah (Rivka Sturman)
C,Eliyahu Gamliel,Ahavat Hadassah (Eliyahu Gamliel)
P,Itzik Sa'ada,Ahavat Hagvarim
C,Sefi Aviv,Ahavat Itamar (Ahavat Itamar Ben Avi)
L,Gideon Dan,Ahavat Kayits
P,Shlomo Maman,Ahavat Ne'uray
P,Ami Ben Shushan,Ahavat Neurim
C,Shlomo Maman,Ahavat Poaley Habinyan (C)
P,Mussa Ashkenazi et al,Ahavat Poaley Habinyan (P)
C,Shlomo Maman,Ahavat Ra'ayah
P,Eli Ronen,Ahavat Roeh
P,Israel Yakovee,Ahavat Shaday (Israel Yakovee)
P,Itzik Sa'ada,Ahavat Shaday (Itzik Sa'ada)
C,Avi Levy,Ahavat Shamayim
P,Tzvi Fridhaber,Ahavat Shlomo Et Shulamit
C,Yankale Levy,Ahavat Tsion (Shiru Na Hameshorerim)
P,Avi Perez,Ahavat Yaldut
C,Shoshana Dudai,Ahavata Shel Theresa Dimon
P,Oren Shmuel,Ahavatcha
P,Moshe Telem,Ahavateynu Hagdola
P,Shlomo Maman,Ahavati
P,Meir Shem Tov,Ahavati Harishona
C,Shlomo Maman,Ahavati Shavuy
P,Victor Gabbay,Ahavnu
P,Avi Amsalam,Ahavot Lirkod
C,Dudu Shitrit,Ahavti Et Yofyech (C)
P,Moshe Telem,Ahavti Et Yofyech (P)
P,Moti Ben Ya'akov,Ahavti Otach
P,Israel Shiker,"Ahavtiha (Pitom Achshav, Pitom Hayom) (Israel Shiker)"
P,Moshany A. Shemesh,"Ahavtiha (Pitom Achshav, Pitom Hayom) (Moshany A. Shemesh)"
P,Nissim Ben Ami,Ahavuni
C,Gadi Bitton,Ahaya (Eheye)
P,Moti Ben Ya'akov,Ahuv Besayeret Charuv (Yesh Li Ahuv Bes. Charuv)
p,Yaron Elfasy,Ahuv Chaiyai
,Yaron Elfasy,Ahuv Chayai
P,Shlomo Maman,Ahuv Libi
C,Oren Shmuel,Ahuv Sheli (Habibi Ya Nour El Ain)
P,Rafi Ziv,Ahuv Yakar
P,Yom Tov Ochayon,Ahuva
C,Oren Ashkenazi,Ahuva Sheli (C)
P,Dudu Barzilay,"Ahuva Sheli (P, Dudu Barzilay)"
P,Victor Gabbay,"Ahuva Sheli (P, Victor Gabbay)"
P,Rafi Ziv,"Ahuva Sheli (P, Rafi Ziv)"
P,Dede Luski,Ahuvat Hamatador
C,Shmulik Gov Ari,Ahuvat Levavi (C)
P,Chayim Shiryon,"Ahuvat Levavi (P, Chayim Shiryon)"
P,Ya'ir Menashe,"Ahuvat Levavi (P, Ya'ir Menashe)"
P,Victor Gabbay,Ahuvati
C,Shmulik Gov Ari,Ahuvati Bat Chamishim
P,Israel Shiker,Ahuvati Yael
C,Shmulik Gov Ari,Ahuvi
P,Yankale Levy,Ahuvi Chazor (Hilauyi Veyaheli)
P,Shlomo Maman,Ai Kerida Miya
L,Oren Bachar,Ain't Nobody
C,Gadi Bitton,Akeida
C,Nurit Melamed,Akevot Bachol
C,Avi Perez,Akordion Yashan
P,Ohad Atia,Akut Sheri (Ecute Cheri)
L,Lena Ashkenazi,Al Andalus
P,Eli Ronen,Al Anfei Shita (Eli Ronen)
P,Marco Ben Shimon,Al Anfei Shita (Marco Ben Shimon)
,Yaakov Dekel,Al Be'er
P,Yaniv Zairi,Al Chevel Dak
C,Rachel Waitzman,Al Em Haderech
P,Shmulik Gov Ari,Al Fuhara
c,Ilai Szpiezak,Al Gag Ha'olam
C,Moshe Eskayo,Al Gemali (C)
P,Tzvi Fridhaber,Al Gemali (P)
C,Victor Gabbay,Al Gvul Hayam Ha'acharon
P,Naftaly Kadosh,Al Hachof Be Saloniki (Salonika)
C,Chayim Shiryon,"Al Haderech (Shir Haderech) (C, Chayim Shiryon)"
C,Sefi Aviv,"Al Haderech (Shir Haderech) (C, Sefi Aviv)"
P,Avi Perez,Al Haderech (Shir Haderech) (P)
P,Shalom Amar,Al Hadvash (P)
,Sefi Aviv,"Al Hadvash (, Sefi Aviv)"
,Chaim Livneh,"Al Hadvash (, Chaim Livneh)"
C,Rivka Sturman,Al Hadvash Ve'al Haokets
P,Roni Siman Tov,Al Ha'ir Afot Yonim (Teivat Vezimra Nifredet) (Roni Siman Tov)
P,Israel Shiker,Al Ha'ir Afot Yonim (Teivat Vezimra Nifredet) (Israel Shiker)
C,Sagi Azran,Al Hamapa
C,Dani Dassa,Al Hanisim
C,Yossi Azulai,Al Har Hamoriah
C,Rivka Sturman,Al Harim (C)
,Hadassah Badoch,Al Harim ()
C,Michael Barzelai,Al Hasafsal
C,Shimshon Weinstein,Al Hayam
C,Motti Elfasy,Al Kanfei Hakesef
C,Yaron Elfasy,Al Kanfei Ruach
C,Levi Bargil,Al Kapav Yavi (Levi Bargil)
C,Shlomo Maman,Al Kapav Yavi (Shlomo Maman)
P,Shmulik Gov Ari,Al Kav Hazinuk
P,Naftaly Kadosh,Al Knaf Ha'ahava
C,Shlomo Bachar,Al Kol Eleh
P,Shlomo Maman,Al Ktsot Ha'etsbaot
C,Moshiko Halevy,Al Lanu
P,Moshiko Halevy,Al Levavi
P,Gadi Bitton,Al Na Telchi
PW,Gadi Bitton,Al Na Telchi-Wh.Chair
P,Avi Perez,Al Na Tishal
P,Israel Yakovee,Al Na Tivki
P,Ruth Motes,Al Na Tomar Li Shalom
C,Ma'or Gabbay,Al Neharot Bavel
C,Israel Shabtai,Al Nevakesh (Israel Shabtai)
C,Yaron Elfasy,Al Nevakesh (Yaron Elfasy)
C,Yankale Ziv,Al Pi Tnuat Harakavot (Yankale Ziv)
C,Benny Levy,Al Pi Tnuat Harakavot (Benny Levy)
P,Rafi Ziv,Al Pisgat Haolam (Hop Hop)
C,Oren Halaly,Al Rosh Hahar
C,Yankale Levy,Al Sadeh Veya'ar
C,Bentzi Tiram,Al Sadeinu (Shir Hasadeh)
P,Itzik Ben Dahan,Al Saf Beitech
P,Naftaly Kadosh,Al Saf Daltech (Naftaly Kadosh)
P,Avner Naim,Al Saf Daltech (Avner Naim)
PW,Avner Naim,Al Saf Daltech - Wh.Chair
C,Yaron Malihi,Al Salsalim
, ,Al Shemesh Veyam
C,Israel Shiker,Al Ta'avri Levad Yalda Barech.
P,Shlomo Maman,Al Ta'azvi
P,Shlomo Maman,Al Ta'azvi Oti
c,Chagit Fuchs,Al Ta'azvi Yadayim
P,Amnon Amram,Al Ta'azvini
C,Sagi Azran,Al Tafriu Li Lirkod
P,"Mali Lipson, Moshe",Al Tafsik
P,Itzik Ben Dahan,Al Ta'iri Et Hachalom
C,Benny Levy,Al Tashlicheini (Benny Levy)
