type,choreographer,label
L,Moshe Eskayo,Liat Li Liat (Boom Boom)
P,Nona Malki,Libech Noge'a
P,Roni Siman Tov,Libeinu halaila
C,Yuval Tabashi,Libi (C)
P,Moshiko Halevy,Libi (P)
C,Shmulik Gov Ari,Libi Bamidbar
C,Shmulik Gov Ari,Libi Batsafon
C,Gadi Bitton,Libi Er
P,Avi Perez,Libi Itach (Avi Perez)
P,Eli Segal,Libi Itach (Eli Segal)
P,Itzik Appleboim,Libi Libi
P,Rafi Ziv,Libi Od Ohev
P,Sagi Azran,Libi Yotseh Elayich
C,Yaron Malihi,Lichiyot Bi New Zealand
P,Gadi Bitton,Lichiyot Otach
P,Chayim Ochayon,Lichiyot Velamut Lezidcha
C,Oren Bachar,Lichvod Hakayits
C,Avner Naim,Lichvod Shabbat (Likrat Shabbat)
P,Chayim Ochayon,Lichyot Al Hayareach
P,Sari Atiya,Lidiya Halohetet
L,Ariadna Faerstein,Lieora
C,Israel Shiker,Lifa'mim
L,Eyal Eliyahu,Life
P,Naftaly Kadosh,Lifnei She'at Holechet (Ahuva Sheli)
C,Gadi Bitton,Lifnei Sheyigamer (C)
P,Yaron Ben Simhon,Lifnei Sheyigamer (P)
C,Shmulik Gov Ari,Lifnei Ve'acharei
P,Elad Shtamer,Lifney Kama Dakot
C,Marco Ben Shimon,Lifney Shenifradim (Ad Hapa'am Haba'a)
C,Eli Ronen,Lifnot Erev (Bein Broshim)
C,Nurit Melamed,Lifto'ach Et Halev
C,Nurit Melamed,Lihiyot Ani
U,Dani Dassa,Lihiyot Babayit
P,Israel Shiker,Li'hiyot Itach
P,"Ofer Alfasi, Hila Tavor",Lihiyot Levad (Rotse Lihiyot Levad)
C,Ariane Butel,Lihiyot Smecha
C,"Oren Ashkenazi, Lena Ashkenazi",Lihyot Besimha Tamid
L, ,Like A Dancer
P,Israel Shabtai,Liknot Lach Yahalom
P,Shoshana Dudai,Likrat Kalah (Likrat Shabbat)
,Mike Yuli,Likrat Shabbat
C,Yo'av Ashriel,Likrat Shabbat (Lecha Dodi)
P,Roni Siman Tov,Lili Sheli
L,Yaron Elfasy,Limbo
P,Sefi Aviv,Limon Limonero
C,Shmulik Gov Ari,Limonana
L,Yaron Elfasy,Linda (Yaron Elfasy)
L,Gadi Bitton,Linda (Gadi Bitton)
L,Ira Weisburd,Linda Eh
L, ,Linda Hey
C,Yaron Ben Simhon,Linshom
C,Dudu Barzilay,Linshom Ktsat
L,Ariadna Faerstein,Liorare
C,Tuvia Tishler,Lipa Ha'eglon
C,Tamir Shalev,Lipol Im Hashkiot
C,Michal Nadler,Lirkod Et Hachaim
P,Yom Tov Ochayon,Lirkod Ita Halaila
P,Shlomo Maman,Lirkod Itach
C,"Mali Lipson, Moshe",Lirkod Levad
C,Moshany A. Shemesh,Lirkod Nolda
L,Tamar Shabtai,Lirkod Velazuz
C,Yom Tov Ochayon,Lir'ot Et Hake'ev
C,Shlomo Maman,Lirot Et Haor
P,Sam (Shmuel) Ashkenazi,Lirot Otach Tsocheket
C,Bentzi Tiram,Lirushalayim (Li Yerushalayim Ircha)
C,Victor Gabbay,Lirushalayim Halachti (Yaffo)
P,Dede Luski,Lisa Lisa
C,Nurit Melamed,Lishmor Alai
C,Ohad Atia,Lisloach Limchol
P,Nona Malki,Lislo'ach Velishko'ach
C,Israel Shiker,Lismoach Velirkod
P,Motti Elfasy,Lital
P,Moshe Eskayo,Livavtini
L,Yaron Elfasy,Live It Up
C,Ilan Swisa,Livror Nachon
L,Leah Bergstein,Livshuna Oz
C,Moshe Eskayo,Liya (Baishanim)
C,Moshe Eskayo,Lo Alecha
C,Shlomo Bachar,Lo Amarta Li Davar
P,Levi Bargil,Lo Ani Hu Ha'ish
P,Rafi Subara,Lo Avater Alayich
C,Victor Gabbay,Lo Chashuv
P,Mati Avraham,Lo Chashuv Le'an
P,Yoram Sasson,Lo Chashuv Li Le'an
P,Gadi Bitton,Lo Dibarnu (Lo Dibarnu Od Al Ahava)
P,Moti Marzuk,Lo Dimyanti
P,Gadi Bitton,Lo Domah Le'Af Achad
C,Moshiko Halevy,Lo Eten Lach
P,Gadi Bitton,Lo Eten Laga'at (Vehapa'am Shir Ahava)
P,Avi Perez,Lo Evakesh Et Yadech
C,Israel Shiker,Lo Gava Libi
C,Oren Bachar,Lo Hakol Min Allah
P,Sharon Elkaslassy,Lo Hefsakti
P,Ilai Szpiezak,Lo Hi
L,Eyal Eliyahu,Lo Ichpat Lachem Meitanu
P,Avi Perez,Lo Kol Hanotsets Zahav
C,Avi Perez,Lo Kol Yom Purim
P,Amnon Sha'uli,Lo Lakachat Lalev
P,Zev Maluch,Lo Lakachti Lalev
C,Israel Shiker,Lo Lakachti Shum Davar
C,Moshe Tawily,Lo Lehitya'esh
C,Benny Levy,Lo Levad (C)
P,Levi Bargil,Lo Levad (P)
P,Eli Segal,Lo Mala'ach Velo Mushlam
C,Tamir Shalev,Lo Malachim
C,"Ohad Atia, Gadi Bitton",Lo Matsati
CP,Or Balelilti,Lo Mechaka Yoter
P,Shlomo Maman,Lo Memaher
L,Maurice Perez,Lo Meshane Li
C,Cheli Livne,Lo Me'uchar
C,Nurit Melamed,lo Meuchar Leshneynu
C,"Mali Lipson, Moshe","Lo Mevater (C, Mali Lipson, Moshe)"
C,Yaron Malihi,"Lo Mevater (C, Yaron Malihi)"
C,Sagi Azran,"Lo Mevater (C, Sagi Azran)"
P,Yankale Ziv,Lo Mevater (P)
C,Ilai Szpiezak,Lo Mevater Al Hachalom
C,Nurit Melamed,Lo Mevateret
P,Avi Perez,Lo Mevin Ma Kara Lach
P,Shlomo Maman,Lo Mitbayeshet Le'ehov
P,Avi Perez,Lo Mitcharet
P,Avi Levy,Lo Motseh Et Atsmi
C,Motti Elfasy,Lo Na'atsor
C,Amnon Sha'uli,Lo Nafsik Lashir (Anachnu Lo Nafsik Lashir)
C,Ya'ir Ankri,Lo Nevater
P,Avi Perez,Lo Nikshar
P,Shlomi Nagarin,Lo Nirdemet Tel Aviv
c,Nurit Melamed,Lo Nishbar
P,Yossi Perez,Lo Normali
P,Nona Malki,Lo Normaly (Biglalech)
C,Bentzi Tiram,Lo Nutka Hashalshelet
C,"Yaron Ben Simhon, Gadi Bitton",Lo Otseret
P,Nir Dor,Lo Ozev Et Ha'ir (Nir Dor)
P,Yoram Sasson,Lo Ozev Et Ha'ir (Yoram Sasson)
P,Marco Ben Shimon,Lo Pa'am Baka'its
C,Sagi Azran,Lo Pashut Lihyot Pashut
P,"Mishel Cohen, Gil",Lo Rak Biglal
P,Yaakov Mirima,Lo Rotsa Michtavim
P,Israel Shabtai,Lo Shacharti Sham Klum
C,Moshiko Halevy,Lo Sharti Lach Artsi (Moshiko Halevy)
C,David Ben David,Lo Sharti Lach Artsi (David Ben David)
P,Mitch Ginsburgh,Lo Tamid Pashut
C,Ohad Atia,Lo Tedi Dimah
C,Rafi Ziv,Lo Tedi Kama
P,Elad Shtamer,Lo Tehi Yoter Levadech
C,Avi Perez,Lo Tenatschu Oti
P,Shlomo Maman,Lo Tipol
C,Levi Bargil,Lo Tsarich
P,Amnon Amram,Lo Tsarich Harbeh
,Meir Shem Tov,Lo Tsipiti
P,Yaakov Mariyoma,Lo Uchal Bli Michal
C,Dudu Barzilay,Lo Yachol Lehafsik (Ani Lo Yachol)
C,Ze'ev Nisim,Lo Yechola Biladecha
P,Kobi Michaeli,Lo Yikchu Otach Mimeni
P,"Leslie Asaraf, Yosi Cohen",Lo Yoda'at Eich Korim Li
P,Gadi Bitton,Lo Yode'a
P, ,Lo Yoter Mishir
P,Shalom Amar,Lo Ze Hayom
L,Kobi Michaeli,Loca (Loka)
P,Rafi Ziv,Lochemet (Rafi Ziv)
P,Ilanit Ben Meir,Lochemet (Ilanit Ben Meir)
P,Yaron Ben Simhon,Lochesh Beleilotaich
P,Tamir Shalev,Lochesh Lach
L,Raanan Mor,Locomotion
,Avner Naim,Logem (Logem Logem)
P,Ilai Spieziak,Lo'i
C,Ilan Benedict,Lokeach Et Hazman
P,Eli Segal,Lolita (Eli Segal)
P,Chayim Ochayon,Lolita (Chayim Ochayon)
L,"Roni, Ilana",Lombelico Del Mondo
L,Orly Star Setareh-Daniella Welch,Loquita
L,Dudu Sapir,Love Boat
C,Hila Emanuel,Love Boy
L,Crazy Chris,Love Generation (Feel the Love)
C,Sefi Aviv,Lu (C)
P,Roni Siman Tov,Lu (P)
P,Roni Siman Tov,Lu Haiti
P,Gadi Bitton,Lu Haiti Yachol
C,Moshiko Halevy,Lu Hayit Hana'arah
C,Israel Shiker,Lu Hayiti Pirat
L,Oren Ashkenazi,Lu Hayiti Rosh Memshala
C,Reuben Partock,Lu Hayiti Rothschild
C,Ron Nistal,Lu Yehi (Ron Nistal)
C,Gadi Bitton,Lu Yehi (Gadi Bitton)
C,Israel Yakovee,Luchot Habrit
P,Sefi Aviv,Luci'a
P,Yaron Ben Simhon,Lulian Besarkasti
C,Gadi Bitton,Lulu
P,Nir Dor,Luna
L,Tzlil Shuker,Luna Bonita
LK,Rotem Shmueli,Luna Park
c,Ira Weisburd,Luna Sefardita
C,Shmulik Gov Ari,Ma Asita Bachaim
P,Rafi Ziv,Ma Asita Li
P,Shlomo Maman,Ma At Margisha (Shlomo Maman)
p,Sagi Azran,Ma At Margisha (Sagi Azran)
P,Michael Barzelai,Ma At Omeret
C,Nurit Melamed,Ma Ata Over
P,Moshe Eskayo,"Ma Avarech (P, Moshe Eskayo)"
P,Dani Dassa,"Ma Avarech (P, Dani Dassa)"
,Jonathan Gabay,Ma Avarech ()
C,Yaron Malihi,Ma Baleilot
P,"Mali Lipson, Moshe",Ma Barosh Sheli
C,Oren Shmuel,Ma Chashuv Hayom
C,Chen Shporen,Ma Hadawain Shelach
C,Rafi Ziv,Ma Haya Li
C,La Mona Myriam Ekhauzer,Ma Hi Emuna
C,Avi Perez,Ma Hu Ose La
C,Chana Nitzan,Ma Kara (Chana Nitzan)
C,Sefi Aviv,Ma Kara (Sefi Aviv)
C,Yoram Sasson,Ma Kara (Yoram Sasson)
C,Gadi Bitton,Ma Kore Po
C,Orly Setareh,Ma Koreh
C,Dudu Barzilay,Ma Koreh Itach
C,Rafi Ziv,Ma Koreh Li (Al Lo Yoda'at Ma korehLi)
P,Moshe Tawily,Ma Kvar Bikashti
P,Kobi Michaeli,Ma Lach
P,Eyal Bar Kayma (Eyal Levy),Ma Lach Yalda
P,Shmulik Gov Ari,Ma Nashim Rotsot
C,Benny Levy,Ma Natata Li
C,Raaya Spivak,Ma Navu (Raaya Spivak)
C,Rivka Sturman,Ma Navu (Rivka Sturman)
C,Marco Gadez,Ma Nishar Li
C,Shmulik Gov Ari,Ma Nishar Lo
LK,Rotem Shmueli,Ma No'alim
C,Shlomo Bachar,Ma Notsets
C,Shmulik Gov Ari,Ma Od Nevakesh
P,Shlomo Maman,Ma Omrot Einayich
C,Gadi Bitton,Ma She'ani Tsricha
C,Miri Akuni,Ma She'at Ohevet
P,Sharon Elkaslassy,Ma Sheba Ba
P,Ze'ev Nisim,Ma Shebeneinu
P,Avi Levy,Ma Shehalev Bachar
P,"Mali Lipson, Moshe",Ma Shehaya (Leyad Ma Shehaya Habait Shelah)
C,Irit Malka,Ma Shesheli Shelcha
C,Yaron Ben Simhon,Ma Shetevakshi
C,Chana Nitzan,Ma Shetichon Nachon
P,Avi Levy,Ma Sheyacholnu Lihiyot
C,Ohad Atia,Ma Sheyehie Yehie
P,Eli Ronen,Ma Sheyesh Li Lomar
C,Cheli Livne,Ma Sheyoter Amok Yoter Kachol
C,Sefi Aviv,Ma Shihiye (Lemi Ichpat MaYehie)
P,Eli Rachamim,Ma Ta'asi
P,Yael Twito,Ma Tagidi Li Ma
C,Moshiko Halevy,Ma Tov
P,Marco Ben Shimon,Ma Tov Uma Naim
P,Marco Ben Shimon,Ma Tov Uma Naim 2
C,Gadi Bitton,Ma Tsarich Ben Adam
L,Yael Twito,Ma Vie
C,Yankale Levy,Ma Yafim Haleilot Bikna'an
C,"Eli Segal, Sefi Aviv",Ma Yakar Hasdecha
C,Amnon Sha'uli,Ma Yihiye (C)
P,David Ben Naim,Ma Yihiye (P)
C,Dov Orbach,Ma Yihiye Tagidi
L,Raanan Mor,Ma Yihiye Yihiye (L)
PL,Raanan Mor,Ma Yihiye Yihiye (PL)
C,Sefi Aviv,Ma Yotseh Lechah Mize
C,Rafi Ziv,Ma Ze Ole Lecha Lachalom
P,Gadi Bitton,Ma Zot Ahava (Hachnisini Tachat Knafech)
C,Israel Shiker,Ma'agalim
P,Shmulik Gov Ari,Ma'aliyot
P,Victor Gabbay,Ma'amin Ba'ahava
C,Chen Blum,Ma'amin Benisim
C,Pnina Dickman,Ma'aminim (Anachnu Ma'aminim)
P,Victor Gabbay,Ma'arits Metoraf
P,Shmulik Gov Ari,Ma'arits Shelach
C,Sagi Azran,Ma'ayan
C,Yaakov Sassi,Ma'ayan Atik
P,Didi Dosh,Mabat Ohev
P,Shlomo Maman,Mabatech
C,Dudu Barzilay,Mabit Al Hamromim
P,"Mali Lipson, Moshe",Mabit Bach Bishtika
P,"Gadi Bitton, Naftaly Kadosh",Mabit Mehatsad
C,Boaz Cohen,Mabita Kadima
,Jonny Mattia,Mabrouka
C,Shmulik Gov Ari,Mabruk
L,Aviv Ben Ishay,Mabruk Aleikum
P,"Sagi Azran, Sharon Elkaslassy",Machar (P)
PMKT,Rivka Sturman,Machar (PMKT)
C,Gadi Bitton,Machar (Tnu Li Lehenot)
C,Rina Rinkewich,Machar Hashemesh Tizrach
C,Nourit Grinfeld,Machar Yagia Bechatsot
C,Bentzi Tiram,Machmad Levavi (Bentzi Tiram)
C,Israel Yakovee,Machmad Levavi (Israel Yakovee)
P,Shlomo Maman,Machmal Nafshi
C,"Shira Viener, Ilan Mor",Machol Amami Turki
C,"Mali Lipson, Moshe",Machol Avraham (Radio Ramala)
C,Boaz Cohen,Machol Czechia
C,Moshiko Halevy,Machol Gruzini
C,Rafi Ziv,Machol Haneurim
P,Shmulik Gov Ari,Machol Hanisuin
P,Shlomo Maman,Machol Ha'ohavim
C,Kobi Michaeli,Machol Harel
C,"Sagi Azran, Sharon Elkaslassy",Machol Hasaharane
C,"Oren Ashkenazi, Lena Ashkenazi",Machol Kurdi
C,Ya'ir Ankri,Machol Lashalom (Ani Nishba)
,Maurice Perez,Machol Legalit
C,Avi Perez,Machol Le'ido
P,Israel Shiker,Machol Lena'ama (Na'ama)
C,Rafi Ziv,Machol LeNeomi
C,Avi Amsalam,Machol Leosher (Osher)
P,Israel Shiker,Machol Metoraf
C,Chayim Vaknin,Machol Midbari
C,Oren Ashkenazi,Machol Neshama
C,Gadi Bitton,Machol Rachel (Haleluya)
C,Yoram Bargil,Machol Raiz
C,Gadi Bitton,Machol Yonatan
,Yonatan Karmon,Machrozet Chasidit
C, ,Machrozet Lambadah
C,Ya'ir Harel,Machshava Tova
P,Yaron Ben Simhon,Machshavot
P,Yaron Ben Simhon,Machshavot Belibi
C,Moshe Eskayo,Machur Al Yevanit
P,Yoland Valency,Machur Le'ahava
P,Mike Varon,Madhima Oti
P,Siman Tov Sfaradi,Madregot Harabanut
C,Benny Levy,Madu'a Baolam (Elohai Madu'a Baolam)
P,Victor Gabbay,Maga Shel Mal'ach
P,Shalom Amar,Magafayim (Hora Magafayim)
C,Avi Perez,Magen Israel
P,Tuvia Tishler,Magia Lo
L,Roz Morgan,Magic Moves (Moves Like Jagger)
L,Sagi Azran,Magic System
P,Noah Moore Amsalem,Magnet Shel Balagan
LK,Levi Bargil,Mahapecha Shel Simcha
C,Avi Levy,Mahen Hamilim
L,Brazilian,Makarena
C,Elron Reuveni,Makat Shemesh (C)
LK,Levi Bar Gil,Makat Shemesh (LK)
P,Attar Chaiyt,Make Al Chet
L,Orly Goldshtein,Makeba
P,Avi Perez,Makom Acher
C,Kobi Michaeli,Makom Balev
P,Roni Siman Tov,Makom Leahava
C,Nir Dan,Makom Ledeaga
P,"Mishel Cohen, Gil",Makom LeTsidech
L,Moshe Telem,Makosa (Ahava Sug Bet)
LK,Levi Bargil,Makot Mitsraeim
P,Gadi Bitton,Maktub (Kochavim Shel Ahava)
L,Ira Weisburd,Mala
L,"Chen Shporen, Mona Goldstein Atkinson",Mala Lemala
C,Dudu Barzilay,Mala Mala (Muzika)
C,Levi Bargil,Malach (C)
P,Shlomo Maman,Malach (P)
P,Yaron Malihi,Malach Sheli
P,Gadi Bitton,Malach Shomer
C,Avner Naim,Malachei Hashalom
C,Chayim Ochayon,Malachi Hakatan
C,Shmulik Gov Ari,Malachim (Shmulik Gov Ari)
C,Mona Goldstein,Malachim (Mona Goldstein)
P,Nir Dor,Malachim Bashamayim
C,Sagi Azran,Malachim Bashamayim (Malachim)
C,Ilan Swisa,Malachim Be Tel Aviv
C,Rafi Ziv,Malachit
C,Rafi Ziv,Malchei Hamlachim
P,Eli Ronen,Malchut Hachermon (Eli Ronen)
P,Avner Naim,Malchut Hachermon (Avner Naim)
P,Eli Noy,Malchut Hachermon (Eli Noy)
P,Gadi Bitton,Maldita Luna
P,Tamir Shalev,Male Beosher
C,Shoshana Kopelevitch,Maleh Kos Yayin Adom
L,Kobi Michaeli,Malezia (Ikhlas Tapijauh)
C,Chen Blum,Mali Mali
P,Shlomo Bachar,Malibu
, ,Malka Bli Melech
C,Nurit Melamed,Malka Chadasha
C,Bonny Piha,Malka Tsoaniya
P,Avi Levy,Malkat Hacharuzim
C,Yaron Malihi,Malkat Hachatunot
C,Shlomo Bachar,Malkat Haksamim
C,"Michael Barzelai, Chen Shporen, Ohad Atia",Malkat HaShoshanim
P,Dudu Barzilay,Malkat Hayofi
C,Motti Elfasy,Malkat Ksamim
U, ,Malkat Shirai
C,Shlomo Maman,Malkhutcha
C,Yaakov Dekel,Malu Asameinu Bar (C)
P,Ze'ev Chavatzelet,Malu Asameinu Bar (P)
C,Yossi Rozilio,Mama (Yossi Rozilio)
C,Victor Gabbay,Mama (Victor Gabbay)
C,Avi Levy,Mama Diali
c,Pedro Lee,Mama Mia
C,Nurit Melamed,Mama Sheli
LK,Yael Yaakovee,Mama Ya Chilweh
L,Frederic Lerouge,Mambo Mambo
L,Eli Segal,Mambo No. 5
C,Yoram Sasson,"Mami (C, Yoram Sasson)"
C,Michael Barzelai,"Mami (C, Michael Barzelai)"
P,Sagi Azran,"Mami (P, Sagi Azran)"
P,Sagi Azran,"Mami (P, Sagi Azran)"
L,Carina Saslavsky,Mami (Lafalta)
C,Sagi Azran,Mami Bali
C,Oren Ashkenazi,Mamri Lemala
C,Rafi Ziv,Mamri'im
C,Nona Malki,Mamshicha Mikan
C,Nir Dor,Mandolina
C,Ira Weisburd,Mandoline
C,Avi Levy,"Mangina (C, Avi Levy)"
C,Dudu Barzilay,"Mangina (C, Dudu Barzilay)"
C,Ilan Swisa,"Mangina (C, Ilan Swisa)"
PK,Osnat Tanji,Mangina (PK)
C,Jack Ochayon,Mangina Ktana (Jack Ochayon)
C,Oren Ashkenazi,Mangina Ktana (Oren Ashkenazi)
C,Mitch Ginsburgh,Mangina Shelo Chozeret
C,Israel Shiker,Manginat Chayay
C,Se'adia Amishai,Manginat Hadror (Shir Hamagen Vehameri)
C,Eran Bitton,Manginat Haru'ach
C,Shlomo Maman,Manginot (Shlomo Maman)
C,Motti Elfasy,Manginot (Motti Elfasy)
C,Avi Perez,Manginot Shelach
P,Raanan Mor,"Mango, Banana Velimon (Mango Banana)"
C,Dudu Barzilay,Maoryan
C,Dani Dassa,Maoz (Maoz Chor Nina)
CK,"Levi Bar Gil, Chana Nitzan",Maoz Tsur (CK)
,Dvora Lapson,Maoz Tsur ()
C,Nurit Melamed,Mapat Halev
C,Levi Bargil,Mar Narkis
C,Tamar Shabtai,Mara'e Shel Yeled
C,Rafi Ziv,Marakesh
P,Yoram Sasson,Mar'eh Nehedar
P,Shoshana Dudai,Marganit (Ho Marganit) (Shoshana Dudai)
P,Avner Naim,Marganit (Ho Marganit) (Avner Naim)
P,"Israel Shiker, Eyal Levi",Margarita
C,Oren Ashkenazi,Margish
P,Adi Atiram,Margish Batu'ach
P,Moshe Tawily,Margish Betu'ach
C,Oren Ashkenazi,Margish Et Ze
P,Itzik Ben Dahan,Margish Itach
P,Yardena Leib,Margish Kachol
C,Moshiko Halevy,Marhaba
C,Gadi Bitton,Marhaba Bikom (Gadi Bitton)
C,Meir Shem Tov,Marhaba Bikom (Meir Shem Tov)
L,Shalom Amar,Maria
L,Alberto Zirlinger,"Maria 1,2,3"
PW,Avi Perez,Marina - Wh.Chair
P,Avi Perez,Marina (Buba Buba)
C,Ya'ir Harel,Marinella
C,Gadi Bitton,Mariposa
C,Shlomo Bachar,Marlen
C,Avi Levy,Marot
L,Carmit Ben Chaim,Marry You
P,Shalom Amar,Marsh Hadayagim
C,Israel Shiker,Marsh Lachablan
C,Shmulik Gov Ari,Martsipan (Nina)
L,Eli Segal,Maryuma
C,Tamir Shalev,Masa (C)
Lk,Chen Shporen-Levy Bargil,Masa (Lk)
P,Roni Siman Tov,Masa Bein Kochavim (Balada Bein Kochavim)
C,Shlomo Maman,Masa Chayai (Shlomo Maman)
C,Eli Segal,Masa Chayai (Eli Segal)
P,Avner Naim,Masach Ashan
C,Moshe Telem,Masat Nafshi
L,Carmit Ben Chaim,Masecha
C,Nir Dor,Mashav Ru'ach
P,Miri Akuni,Mashber Emun
P,Dudu Barzilay,Mashehu Acher
P,Eli Ronen,Mashehu Ahavti (Ma Haperach)
C,Oren Bachar,Mashehu Amiti
C,Ofer Alfasi,Mashehu Chadash Matchil
C,Gadi Bitton,Mashehu Chayav Likrot
C,Dov Orbach,Mashehu Katan Vetov
C,Dudu Barzilay,Mashehu Matok
C,Yaron Elfasy,Mashehu Naim Laneshamah
C,Avi Levy,Mashehu Tov (C)
P,Yankale Ziv,Mashehu Tov (P)
C,Tamir Shalev,Mashehu Tov Omed Likrot
C,Gadi Bitton,Mashiach
C,Eyal Bar Kayma (Eyal Levy),Mashi'ach (Moshiach) (Eyal Bar Kayma (Eyal Levy))
C,Yehuda Emanuel,Mashi'ach (Moshiach) (Yehuda Emanuel)
C,"Ian, Ame Arroyo","Mashi'ach (Moshiach) (Ian, Ame Arroyo)"
L,Ora Delbery,Mashi'ach (Mosiach)
C,Yoram Sasson,Mashi'ach Hazaken
P,"Mishel Cohen, Gil",Masmerim Venotsot
C,Moshiko Halevy,Masoret
C,Moshiko Halevy,Masri
P,Avi Perez,Matador
C,Sagi Azran,Matai
P,Gadi Bitton,Matai Kvar Nedaber
P,Rafi Ziv,Matai Lachzor
Lk,Yael Yaakovi,Matai Tigdal
C,Gil Shimon,"Matana (C, Gil Shimon)"
C,Ariane Butel,"Matana (C, Ariane Butel)"
P,Sefi Aviv,Matana (P)
PW,Elchanan Goldshtein,Matana - Wh.Chair
P,Chana Shuvaly,Matanat Shamayim
CK,Rotem Shmueli,Matanot Behizdamnut
C,Rafi Ziv,Matanot Hachayim
C,Gadi Bitton,Matanot Ktanot
C,Israel Yakovee,Matar
PL,"Chen Shporen, Mona Goldstein Atkinson",Matchil Hakayits
C,Oren Ashkenazi,Matchil Mechadash
P,Tuvia Tishler,Matchila Mehatchala
c,Folk,Matchilim Mechadash
U,Maurice Perez,Matnat Hashem
C,Moshe Telem,Matnat Shamayim
P,Yaron Malihi,Matok Hatapu'ach
C,Tamir Scherzer,Matok Matok (C)
P,Oren Ashkenazi,Matok Matok (P)
C,Yuval Tabashi,Matos Kachol
C,Rafi Ziv,Matsati Ba'aron
C,Oren Shmuel,Matsav Ru'ach
C,Shmulik Gov Ari,Matsil Oti Kol Yom
C,Rafi Ziv,Matslichim (Matsliach Moshiach)
C,Oren Bachar,Mattai (Oren Bachar)
C,Meir Shem Tov,Mattai (Meir Shem Tov)
C,Moshiko Halevy,Mavani
P,Dudu Barzilay,Mavtiach
C,Avi Levy,Mawal International
L,Michael Barzelai,Mawalim
C,Dani Dassa,Maya
C,Ya'ir Ankri,Mayim
C,Rivka Sturman,Mayim Besason
P,Chilik Carmeli,Mayim Ledavid
C,Giora Kadmon,Mayim Ledavid Hamelech
P,Chayim Ochayon,Mayim Metukim
C,Sefi Aviv,Mayim Mipi Habe'er (Ha'arets Hatova)
P,Meir Shem Tov,Mayim Rabim
P,Itzchak Atira,Mayim Shketim Chodrim
P,Shlomo Maman,Mazal
C,Yo'av Ashriel,"Mazal Tov (C, Yo'av Ashriel)"
C,"Yaron Ben Simhon, Dudu Barzilay","Mazal tov (C, Yaron Ben Simhon, Dudu Barzilay)"
P,Marco Ben Shimon,Mazal Tov (P)
C,Shmulik Gov Ari,Mazal Tov Yisrael
C,Shlomo Bachar,Mazalot
P,Dudu Barzilay,Me'ahev
C,Shlomo Maman,Meal Hagag Shel Haolam
C,Sara Kletter,Meal Hazman
P,Meir Shem Tov,Me'al Lechol Safek (Wege wege)
C,Shmulik Gov Ari,Me'arat Adulam
P,Yaron Malihi,Meausheret
P,Shoshana Kopelevitch,Me'ayin Tavo'ah Shiri
p,Shlomo Maman,Me'az Noladet
P,Ariel Coral,Me'az She'anu Yachad
P,Israel Shiker,Mechake Lecha (Israel Shiker)
P,Shmulik Gov Ari,Mechake Lecha (Shmulik Gov Ari)
P,Sugestion of Circle dances taught in 2018,Mechake lesiman
L,Netta Porat,Mechake Lihiyot Melech
P,Dorit Mizrahi,Mechakeh
P,Shmulik Gov Ari,Mechamemet Et Halev (Kmo Sheat)
C,Dov Orbach,Mechapes Et Haderech
P,"Eran Bilrchman, Hila Madar",Mechapes Et Libech
C,Nir Dor,Mechapeset Shinuim
C,Nurit Melamed,Mechashev Maslul Mechadash
P,Avi Perez,Mecheva Lesitsilia
P,Eyal Ozeri,Mechogey Hazman (Hasoter Azulai)
C,Israel Yakovee,Mechol Bracha
C,Tamar Alyagor,Mechol Dalia
C,Tuvia Tishler,Mechol Daniel
C,Bentzi Tiram,Mechol Giborim
P,Yankale Levy,Mechol Ha'aviv (Debka Ha'aviv)
C,Andre Schor,Mechol Hacharavot
C,Tamar Alyagor,Mechol Hacherev
P,Shalom Hermon,Mechol Hadayagim (Shir Hadayagim)
C,Moshiko Halevy,Mechol Hadvash (Dvash)
P,Yankale Levy,Mechol Hagat (P)
PM,Yardena Cohen,Mechol Hagat (PM)
P,Yonatan Karmon,Mechol Hakerem (Mechol Hayain)
C,Danny Uziel,Mechol Halahat
C,Moshiko Halevy,Mechol Hamezeg (Shir Hamezeg)
C,Bentzi Tiram,Mechol Hamitpachat
C,Shoshana Dudai,Mechol Hane'arot
P,Shalom Hermon,Mechol Hanoar
C,Didi Dosh,Mechol Haparashim
P,Yankale Levy,Mechol Haperach (Li Hinach Tevel Vemeloa)
C,Yankale Levy,Mechol Hashabbat (Ki Eshmera Shabbat)
P,Moshiko Halevy,Mechol Hashnayim
C,Shlomo Maman,Mechol Hatof
P,Shalom Hermon,Mechol Hayayin
C,Pioneer,Mechol Yevani
C,"Yaron Ben Simhon, Gadi Bitton",Mecholela
C,Rafi Ziv,Mecholot Damar
C,Gadi Bitton,Mecholot Nitsanim
P,Naftaly Kadosh,Mechozot Ha'ahava
L,Ofer Alfasi,Mechushaf
C,Nurit Melamed,Mechuzakim La'olam
P,"Meir Shem Tov, Oren Shmuel",Medaber Bli Milim
P,Shimon Vered,Medabrim Ahava
P,Ilai Szpiezak,Medabrim Besheket
P,Eli Segal,Medamyen Otach
C,Avi Perez,Medina Nehederet (Medina Bonbon)
C,Shmulik Gov Ari,Medina Soeret
P,"Ayelet, Dror Bukai",Medinat Ha'ahava (Tihyeh Li Rosamemshalah)
C,Gadi Bitton,Medurat Hashevet
P,Yonatan Karmon,Me'emek Legivah (Shtu Adarim)
C,Elad Shtamer,Me'ever Hayam
